image_id,image_path,participant_id,source_dataset,split,label
img_000001,data/external/affectnet-dataset/test/angry/ffhq_1055.png,img_000001,affectnet,test,angry
img_000002,data/external/affectnet-dataset/test/angry/ffhq_1065.png,img_000002,affectnet,train,angry
img_000003,data/external/affectnet-dataset/test/angry/ffhq_1071.png,img_000003,affectnet,care_dev,angry
img_000004,data/external/affectnet-dataset/test/angry/ffhq_1080.png,img_000004,affectnet,train,angry
img_000005,data/external/affectnet-dataset/test/angry/ffhq_109.png,img_000005,affectnet,test,angry
img_000006,data/external/affectnet-dataset/test/angry/ffhq_1110.png,img_000006,affectnet,final_test,angry
img_000007,data/external/affectnet-dataset/test/angry/ffhq_1113.png,img_000007,affectnet,care_dev,angry
img_000008,data/external/affectnet-dataset/test/angry/ffhq_1211.png,img_000008,affectnet,care_dev,angry
img_000009,data/external/affectnet-dataset/test/angry/ffhq_1246.png,img_000009,affectnet,train,angry
img_000010,data/external/affectnet-dataset/test/angry/ffhq_1286.png,img_000010,affectnet,final_test,angry
img_000011,data/external/affectnet-dataset/test/angry/ffhq_1344.png,img_000011,affectnet,val,angry
img_000012,data/external/affectnet-dataset/test/angry/ffhq_1457.png,img_000012,affectnet,care_dev,angry
img_000013,data/external/affectnet-dataset/test/angry/ffhq_1485.png,img_000013,affectnet,care_dev,angry
img_000014,data/external/affectnet-dataset/test/angry/ffhq_1500.png,img_000014,affectnet,final_test,angry
img_000015,data/external/affectnet-dataset/test/angry/ffhq_1721.png,img_000015,affectnet,care_dev,angry
img_000016,data/external/affectnet-dataset/test/angry/ffhq_1742.png,img_000016,affectnet,train,angry
img_000017,data/external/affectnet-dataset/test/angry/ffhq_1757.png,img_000017,affectnet,test,angry
img_000018,data/external/affectnet-dataset/test/angry/ffhq_1779.png,img_000018,affectnet,train,angry
img_000019,data/external/affectnet-dataset/test/angry/ffhq_1822.png,img_000019,affectnet,train,angry
img_000020,data/external/affectnet-dataset/test/angry/ffhq_1825.png,img_000020,affectnet,care_dev,angry
img_000021,data/external/affectnet-dataset/test/angry/ffhq_1869.png,img_000021,affectnet,test,angry
img_000022,data/external/affectnet-dataset/test/angry/ffhq_1880.png,img_000022,affectnet,test,angry
img_000023,data/external/affectnet-dataset/test/angry/ffhq_19.png,img_000023,affectnet,final_test,angry
img_000024,data/external/affectnet-dataset/test/angry/ffhq_1920.png,img_000024,affectnet,care_dev,angry
img_000025,data/external/affectnet-dataset/test/angry/ffhq_1930.png,img_000025,affectnet,care_dev,angry
img_000026,data/external/affectnet-dataset/test/angry/ffhq_1956.png,img_000026,affectnet,test,angry
img_000027,data/external/affectnet-dataset/test/angry/ffhq_199.png,img_000027,affectnet,test,angry
img_000028,data/external/affectnet-dataset/test/angry/ffhq_2.png,img_000028,affectnet,care_dev,angry
img_000029,data/external/affectnet-dataset/test/angry/ffhq_2035.png,img_000029,affectnet,train,angry
img_000030,data/external/affectnet-dataset/test/angry/ffhq_2073.png,img_000030,affectnet,train,angry
img_000031,data/external/affectnet-dataset/test/angry/ffhq_2106.png,img_000031,affectnet,test,angry
img_000032,data/external/affectnet-dataset/test/angry/ffhq_2150.png,img_000032,affectnet,test,angry
img_000033,data/external/affectnet-dataset/test/angry/ffhq_2177.png,img_000033,affectnet,test,angry
img_000034,data/external/affectnet-dataset/test/angry/ffhq_2291.png,img_000034,affectnet,care_dev,angry
img_000035,data/external/affectnet-dataset/test/angry/ffhq_2339.png,img_000035,affectnet,train,angry
img_000036,data/external/affectnet-dataset/test/angry/ffhq_2343.png,img_000036,affectnet,care_dev,angry
img_000037,data/external/affectnet-dataset/test/angry/ffhq_236.png,img_000037,affectnet,test,angry
img_000038,data/external/affectnet-dataset/test/angry/ffhq_2383.png,img_000038,affectnet,final_test,angry
img_000039,data/external/affectnet-dataset/test/angry/ffhq_2600.png,img_000039,affectnet,val,angry
img_000040,data/external/affectnet-dataset/test/angry/ffhq_2641.png,img_000040,affectnet,care_dev,angry
img_000041,data/external/affectnet-dataset/test/angry/ffhq_2681.png,img_000041,affectnet,val,angry
img_000042,data/external/affectnet-dataset/test/angry/ffhq_27.png,img_000042,affectnet,final_test,angry
img_000043,data/external/affectnet-dataset/test/angry/ffhq_2700.png,img_000043,affectnet,final_test,angry
img_000044,data/external/affectnet-dataset/test/angry/ffhq_2705.png,img_000044,affectnet,care_dev,angry
img_000045,data/external/affectnet-dataset/test/angry/ffhq_2754.png,img_000045,affectnet,test,angry
img_000046,data/external/affectnet-dataset/test/angry/ffhq_280.png,img_000046,affectnet,train,angry
img_000047,data/external/affectnet-dataset/test/angry/ffhq_2823.png,img_000047,affectnet,final_test,angry
img_000048,data/external/affectnet-dataset/test/angry/ffhq_289.png,img_000048,affectnet,train,angry
img_000049,data/external/affectnet-dataset/test/angry/ffhq_2890.png,img_000049,affectnet,train,angry
img_000050,data/external/affectnet-dataset/test/angry/ffhq_293.png,img_000050,affectnet,final_test,angry
img_000051,data/external/affectnet-dataset/test/angry/ffhq_296.png,img_000051,affectnet,train,angry
img_000052,data/external/affectnet-dataset/test/angry/ffhq_2989.png,img_000052,affectnet,test,angry
img_000053,data/external/affectnet-dataset/test/angry/ffhq_3122.png,img_000053,affectnet,final_test,angry
img_000054,data/external/affectnet-dataset/test/angry/ffhq_3188.png,img_000054,affectnet,care_dev,angry
img_000055,data/external/affectnet-dataset/test/angry/ffhq_3762.png,img_000055,affectnet,final_test,angry
img_000056,data/external/affectnet-dataset/test/angry/ffhq_3816.png,img_000056,affectnet,test,angry
img_000057,data/external/affectnet-dataset/test/angry/ffhq_3863.png,img_000057,affectnet,train,angry
img_000058,data/external/affectnet-dataset/test/angry/ffhq_3883.png,img_000058,affectnet,care_dev,angry
img_000059,data/external/affectnet-dataset/test/angry/ffhq_3886.png,img_000059,affectnet,final_test,angry
img_000060,data/external/affectnet-dataset/test/angry/ffhq_4043.png,img_000060,affectnet,final_test,angry
img_000061,data/external/affectnet-dataset/test/angry/ffhq_4092.png,img_000061,affectnet,test,angry
img_000062,data/external/affectnet-dataset/test/angry/ffhq_4142.png,img_000062,affectnet,care_dev,angry
img_000063,data/external/affectnet-dataset/test/angry/ffhq_4151.png,img_000063,affectnet,care_dev,angry
img_000064,data/external/affectnet-dataset/test/angry/ffhq_4253.png,img_000064,affectnet,final_test,angry
img_000065,data/external/affectnet-dataset/test/angry/ffhq_4263.png,img_000065,affectnet,final_test,angry
img_000066,data/external/affectnet-dataset/test/angry/ffhq_4273.png,img_000066,affectnet,final_test,angry
img_000067,data/external/affectnet-dataset/test/angry/ffhq_4326.png,img_000067,affectnet,care_dev,angry
img_000068,data/external/affectnet-dataset/test/angry/ffhq_4344.png,img_000068,affectnet,train,angry
img_000069,data/external/affectnet-dataset/test/angry/ffhq_4360.png,img_000069,affectnet,train,angry
img_000070,data/external/affectnet-dataset/test/angry/ffhq_4403.png,img_000070,affectnet,test,angry
img_000071,data/external/affectnet-dataset/test/angry/ffhq_4408.png,img_000071,affectnet,train,angry
img_000072,data/external/affectnet-dataset/test/angry/ffhq_4534.png,img_000072,affectnet,care_dev,angry
img_000073,data/external/affectnet-dataset/test/angry/ffhq_4655.png,img_000073,affectnet,final_test,angry
img_000074,data/external/affectnet-dataset/test/angry/ffhq_4658.png,img_000074,affectnet,train,angry
img_000075,data/external/affectnet-dataset/test/angry/ffhq_4659.png,img_000075,affectnet,final_test,angry
img_000076,data/external/affectnet-dataset/test/angry/ffhq_4695.png,img_000076,affectnet,train,angry
img_000077,data/external/affectnet-dataset/test/angry/ffhq_4716.png,img_000077,affectnet,final_test,angry
img_000078,data/external/affectnet-dataset/test/angry/ffhq_4737.png,img_000078,affectnet,train,angry
img_000079,data/external/affectnet-dataset/test/angry/ffhq_4766.png,img_000079,affectnet,train,angry
img_000080,data/external/affectnet-dataset/test/angry/ffhq_4837.png,img_000080,affectnet,care_dev,angry
img_000081,data/external/affectnet-dataset/test/angry/ffhq_4978.png,img_000081,affectnet,train,angry
img_000082,data/external/affectnet-dataset/test/angry/ffhq_50.png,img_000082,affectnet,final_test,angry
img_000083,data/external/affectnet-dataset/test/angry/ffhq_5057.png,img_000083,affectnet,test,angry
img_000084,data/external/affectnet-dataset/test/angry/ffhq_5141.png,img_000084,affectnet,train,angry
img_000085,data/external/affectnet-dataset/test/angry/ffhq_516.png,img_000085,affectnet,train,angry
img_000086,data/external/affectnet-dataset/test/angry/ffhq_5242.png,img_000086,affectnet,final_test,angry
img_000087,data/external/affectnet-dataset/test/angry/ffhq_5299.png,img_000087,affectnet,test,angry
img_000088,data/external/affectnet-dataset/test/angry/ffhq_5395.png,img_000088,affectnet,train,angry
img_000089,data/external/affectnet-dataset/test/angry/ffhq_5457.png,img_000089,affectnet,train,angry
img_000090,data/external/affectnet-dataset/test/angry/ffhq_5487.png,img_000090,affectnet,final_test,angry
img_000091,data/external/affectnet-dataset/test/angry/ffhq_5494.png,img_000091,affectnet,val,angry
img_000092,data/external/affectnet-dataset/test/angry/ffhq_5498.png,img_000092,affectnet,care_dev,angry
img_000093,data/external/affectnet-dataset/test/angry/ffhq_5507.png,img_000093,affectnet,final_test,angry
img_000094,data/external/affectnet-dataset/test/angry/ffhq_5569.png,img_000094,affectnet,final_test,angry
img_000095,data/external/affectnet-dataset/test/angry/ffhq_5655.png,img_000095,affectnet,train,angry
img_000096,data/external/affectnet-dataset/test/angry/ffhq_606.png,img_000096,affectnet,final_test,angry
img_000097,data/external/affectnet-dataset/test/angry/ffhq_709.png,img_000097,affectnet,care_dev,angry
img_000098,data/external/affectnet-dataset/test/angry/ffhq_737.png,img_000098,affectnet,care_dev,angry
img_000099,data/external/affectnet-dataset/test/angry/ffhq_830.png,img_000099,affectnet,val,angry
img_000100,data/external/affectnet-dataset/test/angry/ffhq_846.png,img_000100,affectnet,train,angry
img_000101,data/external/affectnet-dataset/test/angry/ffhq_879.png,img_000101,affectnet,train,angry
img_000102,data/external/affectnet-dataset/test/angry/ffhq_948.png,img_000102,affectnet,train,angry
img_000103,data/external/affectnet-dataset/test/angry/ffhq_966.png,img_000103,affectnet,val,angry
img_000104,data/external/affectnet-dataset/test/angry/image0000593.jpg,img_000104,affectnet,test,angry
img_000105,data/external/affectnet-dataset/test/angry/image0000932.jpg,img_000105,affectnet,final_test,angry
img_000106,data/external/affectnet-dataset/test/angry/image0000949.jpg,img_000106,affectnet,final_test,angry
img_000107,data/external/affectnet-dataset/test/angry/image0001061.jpg,img_000107,affectnet,train,angry
img_000108,data/external/affectnet-dataset/test/angry/image0001120.jpg,img_000108,affectnet,val,angry
img_000109,data/external/affectnet-dataset/test/angry/image0001227.jpg,img_000109,affectnet,train,angry
img_000110,data/external/affectnet-dataset/test/angry/image0001294.jpg,img_000110,affectnet,train,angry
img_000111,data/external/affectnet-dataset/test/angry/image0001296.jpg,img_000111,affectnet,care_dev,angry
img_000112,data/external/affectnet-dataset/test/angry/image0001348.jpg,img_000112,affectnet,test,angry
img_000113,data/external/affectnet-dataset/test/angry/image0001538.jpg,img_000113,affectnet,care_dev,angry
img_000114,data/external/affectnet-dataset/test/angry/image0001794.jpg,img_000114,affectnet,train,angry
img_000115,data/external/affectnet-dataset/test/angry/image0001892.jpg,img_000115,affectnet,final_test,angry
img_000116,data/external/affectnet-dataset/test/angry/image0001922.jpg,img_000116,affectnet,val,angry
img_000117,data/external/affectnet-dataset/test/angry/image0002220.jpg,img_000117,affectnet,train,angry
img_000118,data/external/affectnet-dataset/test/angry/image0002230.jpg,img_000118,affectnet,test,angry
img_000119,data/external/affectnet-dataset/test/angry/image0002350.jpg,img_000119,affectnet,final_test,angry
img_000120,data/external/affectnet-dataset/test/angry/image0002506.jpg,img_000120,affectnet,train,angry
img_000121,data/external/affectnet-dataset/test/angry/image0002797.jpg,img_000121,affectnet,train,angry
img_000122,data/external/affectnet-dataset/test/angry/image0003053.jpg,img_000122,affectnet,final_test,angry
img_000123,data/external/affectnet-dataset/test/angry/image0003125.jpg,img_000123,affectnet,train,angry
img_000124,data/external/affectnet-dataset/test/angry/image0003308.jpg,img_000124,affectnet,train,angry
img_000125,data/external/affectnet-dataset/test/angry/image0003351.jpg,img_000125,affectnet,final_test,angry
img_000126,data/external/affectnet-dataset/test/angry/image0003646.jpg,img_000126,affectnet,train,angry
img_000127,data/external/affectnet-dataset/test/angry/image0003666.jpg,img_000127,affectnet,care_dev,angry
img_000128,data/external/affectnet-dataset/test/angry/image0003762.jpg,img_000128,affectnet,val,angry
img_000129,data/external/affectnet-dataset/test/angry/image0003964.jpg,img_000129,affectnet,care_dev,angry
img_000130,data/external/affectnet-dataset/test/angry/image0003970.jpg,img_000130,affectnet,train,angry
img_000131,data/external/affectnet-dataset/test/angry/image0004213.jpg,img_000131,affectnet,train,angry
img_000132,data/external/affectnet-dataset/test/angry/image0004341.jpg,img_000132,affectnet,train,angry
img_000133,data/external/affectnet-dataset/test/angry/image0004357.jpg,img_000133,affectnet,train,angry
img_000134,data/external/affectnet-dataset/test/angry/image0004609.jpg,img_000134,affectnet,train,angry
img_000135,data/external/affectnet-dataset/test/angry/image0004670.jpg,img_000135,affectnet,val,angry
img_000136,data/external/affectnet-dataset/test/angry/image0004835.jpg,img_000136,affectnet,train,angry
img_000137,data/external/affectnet-dataset/test/angry/image0004845.jpg,img_000137,affectnet,test,angry
img_000138,data/external/affectnet-dataset/test/angry/image0004892.jpg,img_000138,affectnet,final_test,angry
img_000139,data/external/affectnet-dataset/test/angry/image0005113.jpg,img_000139,affectnet,test,angry
img_000140,data/external/affectnet-dataset/test/angry/image0005221.jpg,img_000140,affectnet,care_dev,angry
img_000141,data/external/affectnet-dataset/test/angry/image0005269.jpg,img_000141,affectnet,train,angry
img_000142,data/external/affectnet-dataset/test/angry/image0006197.jpg,img_000142,affectnet,train,angry
img_000143,data/external/affectnet-dataset/test/angry/image0006249.jpg,img_000143,affectnet,val,angry
img_000144,data/external/affectnet-dataset/test/angry/image0006258.jpg,img_000144,affectnet,test,angry
img_000145,data/external/affectnet-dataset/test/angry/image0006335.jpg,img_000145,affectnet,test,angry
img_000146,data/external/affectnet-dataset/test/angry/image0006379.jpg,img_000146,affectnet,final_test,angry
img_000147,data/external/affectnet-dataset/test/angry/image0006616.jpg,img_000147,affectnet,train,angry
img_000148,data/external/affectnet-dataset/test/angry/image0006661.jpg,img_000148,affectnet,train,angry
img_000149,data/external/affectnet-dataset/test/angry/image0006816.jpg,img_000149,affectnet,train,angry
img_000150,data/external/affectnet-dataset/test/angry/image0007308.jpg,img_000150,affectnet,final_test,angry
img_000151,data/external/affectnet-dataset/test/angry/image0007564.jpg,img_000151,affectnet,test,angry
img_000152,data/external/affectnet-dataset/test/angry/image0007807.jpg,img_000152,affectnet,test,angry
img_000153,data/external/affectnet-dataset/test/angry/image0007812.jpg,img_000153,affectnet,val,angry
img_000154,data/external/affectnet-dataset/test/angry/image0008228.jpg,img_000154,affectnet,train,angry
img_000155,data/external/affectnet-dataset/test/angry/image0008244.jpg,img_000155,affectnet,val,angry
img_000156,data/external/affectnet-dataset/test/angry/image0008355.jpg,img_000156,affectnet,final_test,angry
img_000157,data/external/affectnet-dataset/test/angry/image0008544.jpg,img_000157,affectnet,care_dev,angry
img_000158,data/external/affectnet-dataset/test/angry/image0008549.jpg,img_000158,affectnet,train,angry
img_000159,data/external/affectnet-dataset/test/angry/image0008558.jpg,img_000159,affectnet,train,angry
img_000160,data/external/affectnet-dataset/test/angry/image0008854.jpg,img_000160,affectnet,final_test,angry
img_000161,data/external/affectnet-dataset/test/angry/image0008871.jpg,img_000161,affectnet,final_test,angry
img_000162,data/external/affectnet-dataset/test/angry/image0009177.jpg,img_000162,affectnet,final_test,angry
img_000163,data/external/affectnet-dataset/test/angry/image0009249.jpg,img_000163,affectnet,final_test,angry
img_000164,data/external/affectnet-dataset/test/angry/image0009252.jpg,img_000164,affectnet,final_test,angry
img_000165,data/external/affectnet-dataset/test/angry/image0009551.jpg,img_000165,affectnet,final_test,angry
img_000166,data/external/affectnet-dataset/test/angry/image0009594.jpg,img_000166,affectnet,train,angry
img_000167,data/external/affectnet-dataset/test/angry/image0009697.jpg,img_000167,affectnet,train,angry
img_000168,data/external/affectnet-dataset/test/angry/image0009942.jpg,img_000168,affectnet,final_test,angry
img_000169,data/external/affectnet-dataset/test/angry/image0010142.jpg,img_000169,affectnet,train,angry
img_000170,data/external/affectnet-dataset/test/angry/image0010214.jpg,img_000170,affectnet,val,angry
img_000171,data/external/affectnet-dataset/test/angry/image0010437.jpg,img_000171,affectnet,train,angry
img_000172,data/external/affectnet-dataset/test/angry/image0010491.jpg,img_000172,affectnet,test,angry
img_000173,data/external/affectnet-dataset/test/angry/image0010503.jpg,img_000173,affectnet,care_dev,angry
img_000174,data/external/affectnet-dataset/test/angry/image0010522.jpg,img_000174,affectnet,care_dev,angry
img_000175,data/external/affectnet-dataset/test/angry/image0010601.jpg,img_000175,affectnet,train,angry
img_000176,data/external/affectnet-dataset/test/angry/image0011283.jpg,img_000176,affectnet,train,angry
img_000177,data/external/affectnet-dataset/test/angry/image0011379.jpg,img_000177,affectnet,test,angry
img_000178,data/external/affectnet-dataset/test/angry/image0011415.jpg,img_000178,affectnet,train,angry
img_000179,data/external/affectnet-dataset/test/angry/image0011481.jpg,img_000179,affectnet,train,angry
img_000180,data/external/affectnet-dataset/test/angry/image0011819.jpg,img_000180,affectnet,test,angry
img_000181,data/external/affectnet-dataset/test/angry/image0011877.jpg,img_000181,affectnet,val,angry
img_000182,data/external/affectnet-dataset/test/angry/image0011973.jpg,img_000182,affectnet,test,angry
img_000183,data/external/affectnet-dataset/test/angry/image0011988.jpg,img_000183,affectnet,final_test,angry
img_000184,data/external/affectnet-dataset/test/angry/image0012009.jpg,img_000184,affectnet,final_test,angry
img_000185,data/external/affectnet-dataset/test/angry/image0012043.jpg,img_000185,affectnet,train,angry
img_000186,data/external/affectnet-dataset/test/angry/image0012224.jpg,img_000186,affectnet,train,angry
img_000187,data/external/affectnet-dataset/test/angry/image0012251.jpg,img_000187,affectnet,train,angry
img_000188,data/external/affectnet-dataset/test/angry/image0012274.jpg,img_000188,affectnet,care_dev,angry
img_000189,data/external/affectnet-dataset/test/angry/image0012320.jpg,img_000189,affectnet,final_test,angry
img_000190,data/external/affectnet-dataset/test/angry/image0012323.jpg,img_000190,affectnet,test,angry
img_000191,data/external/affectnet-dataset/test/angry/image0012445.jpg,img_000191,affectnet,final_test,angry
img_000192,data/external/affectnet-dataset/test/angry/image0012573.jpg,img_000192,affectnet,train,angry
img_000193,data/external/affectnet-dataset/test/angry/image0012579.jpg,img_000193,affectnet,train,angry
img_000194,data/external/affectnet-dataset/test/angry/image0012719.jpg,img_000194,affectnet,care_dev,angry
img_000195,data/external/affectnet-dataset/test/angry/image0012748.jpg,img_000195,affectnet,final_test,angry
img_000196,data/external/affectnet-dataset/test/angry/image0012884.jpg,img_000196,affectnet,train,angry
img_000197,data/external/affectnet-dataset/test/angry/image0012969.jpg,img_000197,affectnet,final_test,angry
img_000198,data/external/affectnet-dataset/test/angry/image0012994.jpg,img_000198,affectnet,care_dev,angry
img_000199,data/external/affectnet-dataset/test/angry/image0013025.jpg,img_000199,affectnet,train,angry
img_000200,data/external/affectnet-dataset/test/angry/image0013063.jpg,img_000200,affectnet,final_test,angry
img_000201,data/external/affectnet-dataset/test/angry/image0013098.jpg,img_000201,affectnet,care_dev,angry
img_000202,data/external/affectnet-dataset/test/angry/image0013245.jpg,img_000202,affectnet,care_dev,angry
img_000203,data/external/affectnet-dataset/test/angry/image0013282.jpg,img_000203,affectnet,test,angry
img_000204,data/external/affectnet-dataset/test/angry/image0013329.jpg,img_000204,affectnet,val,angry
img_000205,data/external/affectnet-dataset/test/angry/image0013345.jpg,img_000205,affectnet,final_test,angry
